City,Counties,Population
Fontana Dam,GRAHAM,20
Grandfather Village,AVERY,25
Lake Santeetlah,GRAHAM,43
Leggett,EDGECOMBE,59
Bear Grass,MARTIN,73
Speed,EDGECOMBE,81
Hassell,MARTIN,84
Centerville,FRANKLIN,88
Como,HERTFORD,91
Orrum,ROBESON,92
Lumber Bridge,ROBESON,93
Raynham,ROBESON,95
Falkland,PITT,97
Harrellsville,HERTFORD,105
Chimney Rock Village,RUTHERFORD,111
McDonald,ROBESON,111
Seven Springs,WAYNE,114
Proctorville,ROBESON,115
Macon,WARREN,117
McFarlan,ANSON,117
Love Valley,IREDELL,120
Indian Beach,CARTERET,121
Lasker,NORTHAMPTON,121
Tar Heel,BLADEN,122
Linden,CUMBERLAND,127
Middleburg,VANCE,134
Godwin,CUMBERLAND,138
Norman,RICHMOND,138
Boardman,COLUMBUS,153
Bolivia,BRUNSWICK,154
Lansing,ASHE,155
Everetts,MARTIN,159
Bald Head Island,BRUNSWICK,171
Milton,CASWELL,172
Pantego,BEAUFORT,176
Marietta,ROBESON,176
Danbury,STOKES,184
Eureka,WAYNE,193
Colerain,BERTIE,195
Cerro Gordo,COLUMBUS,197
Sugar Mountain,AVERY,197
Autryville,SAMPSON,199
Crossnore,AVERY,201
Harrells,SAMPSON/DUPLIN,204
Seven Devils,WATAUGA/AVERY,208
Watha,PENDER,214
Mesic,PAMLICO,215
Walstonburg,GREENE,216
Momeyer,NASH,216
Roxobel,BERTIE,225
Seagrove,RANDOLPH,227
Dillsboro,JACKSON,228
Halifax,HALIFAX,231
Askewville,BERTIE,235
Kelford,BERTIE,237
Bath,BEAUFORT,242
Vandemere,PAMLICO,250
Castalia,NASH,255
Powellsville,BERTIE,261
Earl,CLEVELAND,266
Creswell,WASHINGTON,267
Severn,NORTHAMPTON,270
Parmele,MARTIN,273
Stonewall,PAMLICO,279
Conetoe,EDGECOMBE,280
Goldston,CHATHAM,280
Sandy Creek,BRUNSWICK,281
Cedar Rock,CALDWELL,292
East Laurinburg,SCOTLAND,294
Casar,CLEVELAND,296
Sims,WILSON,305
Oak City,MARTIN,306
Turkey,SAMPSON,307
Falcon,CUMBERLAND/SAMPSON,313
Gatesville,GATES,313
Cameron,MOORE,314
Mooresboro,CLEVELAND,316
Trenton,JONES,317
Waco,CLEVELAND,321
Bethania,FORSYTH,325
Beech Mountain,WATAUGA/AVERY,327
Atkinson,PENDER,329
Hobgood,HALIFAX,333
Pollocksville,JONES,336
Hayesville,CLAY,338
Bunn,FRANKLIN,345
Dublin,BLADEN,351
Webster,JACKSON,369
Forest Hills,JACKSON,369
Brookford,CATAWBA,374
Teachey,DUPLIN,385
Bostic,RUTHERFORD,387
Dover,CRAVEN,387
Rennert,ROBESON,389
Cove City,CRAVEN,390
Duck,DARE,392
Hamilton,MARTIN,398
Topsail Beach,PENDER,401
Hookerton,GREENE,403
Staley,RANDOLPH,403
Cofield,HERTFORD,407
Saratoga,WILSON,409
Ronda,WILKES,414
Simpson,PITT,414
Peachland,ANSON,417
St. Helena,PENDER,420
Stovall,GRANVILLE,421
Fountain,PITT,429
Parkton,ROBESON,436
Salemburg,SAMPSON,436
Caswell Beach,BRUNSWICK,442
Washington Park,BEAUFORT,444
Ruth,RUTHERFORD,448
Grimesland,PITT,449
Elk Park,AVERY,450
MacClesfield,EDGECOMBE,455
Sandyfield,COLUMBUS,455
Micro,JOHNSTON,456
Lattimore,CLEVELAND,459
Bridgeton,CRAVEN,460
Bakersville,MITCHELL,469
Minnesott Beach,PAMLICO,470
East Arcadia,BLADEN,478
Jamesville,MARTIN,479
Morven,ANSON,484
Jackson,NORTHAMPTON,487
Aurora,BEAUFORT,506
Kittrell,VANCE,517
Gibson,SCOTLAND,522
Lilesville,ANSON,529
Lewiston Woodville,BERTIE,530
Pink Hill,LENOIR,531
Stem,GRANVILLE,539
Harmony,IREDELL,540
Polkville,CLEVELAND,544
Bailey,NASH,545
Wade,CUMBERLAND,553
Calypso,DUPLIN,556
Newton Grove,SAMPSON,561
Arapahoe,PAMLICO,567
Ossipee,ALAMANCE,569
Hoffman,RICHMOND,570
Hot Springs,MADISON,573
Roper,WASHINGTON,586
East Bend,YADKIN,595
Varnamtown,BRUNSWICK,596
Rosman,TRANSYLVANIA,599
Robbinsville,GRAHAM,603
Catawba,CATAWBA,604
Lawndale,CLEVELAND,604
Seaboard,NORTHAMPTON,604
Whitsett,GUILFORD,604
Winfall,PERQUIMANS,607
Fallston,CLEVELAND,609
Ansonville,ANSON,610
New London,STANLY,616
Patterson Springs,CLEVELAND,621
Holden Beach,BRUNSWICK,622
Ocean Isle Beach,BRUNSWICK,622
Richfield,STANLY,631
Garland,SAMPSON,639
Sedalia,GUILFORD,644
Littleton,HALIFAX,651
Greenevers,DUPLIN,654
McAdenville,GASTON,670
Pikeville,WAYNE,672
Misenheimer,STANLY,672
Kingstown,CLEVELAND,676
Peletier,CARTERET,676
Bolton,COLUMBUS,690
Grantsboro,PAMLICO,692
High Shoals,GASTON/LINCOLN,699
Grover,CLEVELAND,712
Newland,AVERY,712
Whitakers,EDGECOMBE/NASH,714
Bogue,CARTERET,725
Saluda,POLK/HENDERSON,731
Winton,HERTFORD,734
Taylortown,MOORE,744
Red Cross,STANLY,754
Vass,MOORE,755
Woodland,NORTHAMPTON,767
Black Creek,WILSON,768
North Topsail Beach,ONSLOW,768
Stantonsburg,WILSON,781
Alliance,PAMLICO,786
Montreat,BUNCOMBE,791
Middlesex,NASH,800
Northwest,BRUNWICK/BRUNSWICK,807
Chocowinity,BEAUFORT,821
Kenansville,DUPLIN,821
Faith,ROWAN,823
Wagram,SCOTLAND,830
Columbia,TYRRELL,835
Conway,NORTHAMPTON,835
Dobbins Heights,RICHMOND,838
Candor,MONTGOMERY,840
Walnut Creek,WAYNE,846
Warrenton,WARREN,847
Aulander,BERTIE,850
White Lake,BLADEN,853
Clarkton,BLADEN,856
Star,MONTGOMERY,856
Ellenboro,RUTHERFORD,879
Cleveland,ROWAN,882
Marshall,MADISON,894
Old Fort,MCDOWELL,902
Oriental,PAMLICO,906
Highlands,MACON/JACKSON,928
Fair Bluff,COLUMBUS,942
Rich Square,NORTHAMPTON,943
Belwood,CLEVELAND,944
Magnolia,DUPLIN,964
Cooleemee,DAVIE,965
Columbus,POLK,979
Dortches,NASH,983
Faison,DUPLIN/SAMPSON,992
Vanceboro,CRAVEN,993
Foxfire Village,MOORE,1016
Rowland,ROBESON,1017
Garysburg,NORTHAMPTON,1023
Ellerbe,RICHMOND,1029
Alamance,ALAMANCE,1047
Stoneville,ROCKINGHAM,1053
Maysville,JONES,1060
Stedman,CUMBERLAND,1071
Rhodhiss,BURKE/CALDWELL,1081
Norlina,WARREN,1101
Brunswick,COLUMBUS,1122
Mount Gilead,MONTGOMERY,1122
Gaston,NORTHAMPTON,1130
Robbins,MOORE,1137
Lucama,WILSON,1143
Banner Elk,AVERY,1161
